iter	Passed	Remaining
0	149	149694
1	152	76261
2	154	51402
3	157	39230
4	158	31619
5	164	27254
6	166	23587
7	167	20808
8	169	18677
9	173	17132
10	174	15657
11	175	14437
12	178	13541
13	179	12651
14	180	11879
15	182	11231
16	186	10793
17	188	10281
18	191	9866
19	192	9431
20	193	9031
21	195	8712
22	198	8445
23	200	8140
24	201	7853
25	202	7582
26	207	7474
27	209	7259
28	210	7045
29	212	6883
30	216	6760
31	217	6581
32	222	6508
33	223	6350
34	224	6197
35	229	6155
36	236	6164
37	239	6073
38	241	5949
39	245	5895
40	247	5798
41	251	5728
42	253	5631
43	255	5551
44	258	5482
45	267	5543
46	268	5453
47	272	5400
48	273	5312
49	277	5269
50	280	5227
51	282	5156
52	286	5116
53	289	5068
54	295	5071
55	296	4998
56	298	4936
57	301	4896
58	303	4841
59	310	4867
60	312	4816
61	315	4770
62	318	4738
63	326	4773
64	328	4724
65	330	4679
66	331	4621
67	332	4563
68	334	4519
69	337	4480
70	339	4436
71	340	4386
72	344	4377
73	347	4342
74	348	4293
75	355	4320
76	357	4284
77	360	4263
78	362	4229
79	369	4244
80	371	4215
81	373	4184
82	376	4164
83	388	4231
84	391	4217
85	394	4189
86	397	4173
87	399	4137
88	401	4107
89	405	4102
90	407	4072
91	416	4113
92	419	4094
93	427	4120
94	430	4097
95	434	4089
96	435	4055
97	437	4024
98	443	4033
99	445	4011
100	452	4029
101	463	4080
102	469	4086
103	478	4123
104	480	4094
105	482	4066
106	483	4035
107	485	4013
108	489	4004
109	491	3975
110	494	3962
111	496	3937
112	498	3910
113	503	3911
114	512	3943
115	514	3918
116	524	3956
117	526	3934
118	528	3909
119	529	3882
120	535	3889
121	539	3884
122	542	3868
123	543	3841
124	545	3815
125	554	3848
126	556	3822
127	558	3802
128	560	3782
129	571	3825
130	572	3800
131	574	3775
132	575	3751
133	578	3736
134	583	3735
135	587	3729
136	588	3710
137	595	3720
138	598	3704
139	600	3690
140	602	3671
141	605	3660
142	611	3667
143	614	3651
144	615	3631
145	617	3614
146	622	3610
147	626	3605
148	628	3591
149	630	3571
150	633	3559
151	637	3557
152	641	3550
153	643	3533
154	645	3517
155	649	3513
156	651	3498
157	654	3486
158	656	3469
159	657	3453
160	658	3433
161	669	3463
162	672	3453
163	674	3437
164	679	3439
165	684	3438
166	686	3424
167	688	3407
168	689	3390
169	696	3401
170	699	3392
171	701	3379
172	704	3365
173	711	3375
174	714	3366
175	715	3350
176	717	3333
177	718	3317
178	719	3301
179	726	3307
180	730	3305
181	732	3290
182	733	3274
183	734	3259
184	741	3267
185	745	3263
186	747	3248
187	748	3234
188	750	3220
189	757	3231
190	760	3222
191	762	3207
192	763	3192
193	764	3177
194	766	3162
195	770	3159
196	772	3150
197	774	3137
198	775	3122
199	776	3107
200	777	3092
201	779	3078
202	780	3065
203	786	3068
204	790	3064
205	791	3050
206	792	3036
207	793	3023
208	795	3009
209	803	3023
210	806	3015
211	808	3005
212	809	2992
213	813	2987
214	815	2978
215	818	2970
216	819	2956
217	820	2943
218	821	2930
219	822	2917
220	824	2905
221	826	2898
222	832	2899
223	833	2888
224	835	2877
225	840	2878
226	851	2901
227	853	2889
228	854	2878
229	862	2887
230	863	2876
231	865	2864
232	866	2853
233	868	2842
234	870	2833
235	873	2827
236	875	2819
237	877	2809
238	879	2799
239	894	2832
240	895	2821
241	897	2810
242	900	2805
243	904	2801
244	909	2803
245	911	2794
246	913	2784
247	914	2774
248	916	2764
249	923	2770
250	924	2759
251	926	2749
252	927	2738
253	929	2730
254	931	2720
255	936	2720
256	940	2719
257	942	2711
258	944	2701
259	945	2691
260	951	2694
261	955	2691
262	957	2683
263	959	2676
264	961	2667
265	965	2664
266	968	2658
267	969	2649
268	971	2639
269	973	2631
270	979	2635
271	982	2630
272	984	2621
273	986	2613
274	988	2606
275	989	2596
276	994	2596
277	998	2593
278	1001	2588
279	1003	2580
280	1007	2578
281	1009	2570
282	1010	2561
283	1012	2551
284	1016	2550
285	1020	2547
286	1028	2555
287	1031	2549
288	1033	2541
289	1034	2533
290	1038	2529
291	1042	2528
292	1045	2523
293	1048	2516
294	1049	2509
295	1053	2505
296	1057	2502
297	1058	2494
298	1061	2488
299	1063	2481
300	1074	2496
301	1077	2489
302	1079	2483
303	1084	2483
304	1089	2481
305	1090	2473
306	1093	2468
307	1095	2460
308	1098	2456
309	1102	2454
310	1104	2446
311	1105	2438
312	1107	2431
313	1115	2437
314	1132	2461
315	1133	2454
316	1135	2446
317	1137	2439
318	1138	2431
319	1146	2435
320	1149	2430
321	1150	2423
322	1152	2415
323	1153	2407
324	1158	2406
325	1163	2404
326	1165	2398
327	1169	2395
328	1176	2398
329	1178	2392
330	1180	2385
331	1181	2378
332	1184	2371
333	1190	2373
334	1194	2371
335	1196	2364
336	1197	2356
337	1199	2349
338	1204	2348
339	1208	2346
340	1210	2339
341	1211	2331
342	1213	2324
343	1217	2321
344	1221	2318
345	1223	2312
346	1225	2305
347	1227	2299
348	1234	2302
349	1242	2308
350	1248	2307
351	1251	2304
352	1254	2298
353	1255	2291
354	1263	2294
355	1267	2292
356	1269	2286
357	1271	2279
358	1273	2274
359	1283	2282
360	1285	2275
361	1287	2269
362	1289	2262
363	1297	2266
364	1299	2260
365	1301	2254
366	1306	2254
367	1312	2253
368	1314	2247
369	1316	2240
370	1320	2238
371	1329	2244
372	1331	2238
373	1335	2235
374	1337	2229
375	1342	2227
376	1345	2223
377	1350	2222
378	1353	2217
379	1355	2210
380	1356	2204
381	1358	2198
382	1360	2191
383	1361	2184
384	1367	2184
385	1369	2178
386	1370	2171
387	1373	2165
388	1374	2159
389	1376	2152
390	1379	2148
391	1382	2144
392	1385	2139
393	1386	2133
394	1389	2127
395	1391	2121
396	1397	2122
397	1399	2116
398	1401	2110
399	1402	2103
400	1404	2097
401	1409	2097
402	1413	2094
403	1415	2088
404	1416	2081
405	1417	2074
406	1419	2067
407	1424	2067
408	1426	2061
409	1429	2056
410	1430	2050
411	1432	2044
412	1434	2038
413	1440	2039
414	1443	2034
415	1445	2028
416	1446	2022
417	1448	2016
418	1455	2018
419	1457	2012
420	1458	2006
421	1460	2000
422	1461	1993
423	1462	1987
424	1463	1980
425	1469	1980
426	1472	1975
427	1475	1971
428	1476	1965
429	1478	1959
430	1491	1968
431	1493	1964
432	1499	1963
433	1503	1960
434	1505	1955
435	1507	1950
436	1511	1946
437	1519	1949
438	1521	1944
439	1523	1939
440	1529	1938
441	1533	1936
442	1535	1930
443	1537	1925
444	1539	1919
445	1546	1920
446	1550	1918
447	1552	1912
448	1553	1906
449	1555	1901
450	1564	1904
451	1566	1899
452	1568	1893
453	1572	1891
454	1576	1888
455	1579	1884
456	1581	1879
457	1584	1874
458	1588	1872
459	1590	1867
460	1592	1861
461	1594	1856
462	1604	1860
463	1606	1856
464	1609	1852
465	1616	1852
466	1620	1850
467	1623	1845
468	1634	1850
469	1637	1846
470	1639	1841
471	1641	1835
472	1646	1834
473	1649	1830
474	1651	1824
475	1652	1819
476	1654	1814
477	1658	1811
478	1662	1807
479	1664	1802
480	1665	1797
481	1667	1791
482	1668	1786
483	1674	1785
484	1677	1781
485	1679	1775
486	1680	1770
487	1681	1764
488	1682	1758
489	1684	1752
490	1687	1749
491	1689	1744
492	1693	1741
493	1696	1737
494	1697	1732
495	1699	1727
496	1703	1723
497	1707	1721
498	1709	1716
499	1710	1710
500	1712	1705
501	1713	1700
502	1718	1698
503	1723	1696
504	1725	1690
505	1726	1685
506	1727	1680
507	1734	1679
508	1738	1677
509	1741	1673
510	1743	1667
511	1744	1662
512	1749	1660
513	1751	1655
514	1752	1650
515	1762	1653
516	1764	1648
517	1765	1643
518	1767	1637
519	1768	1632
520	1777	1634
521	1779	1629
522	1782	1625
523	1784	1620
524	1790	1619
525	1793	1616
526	1795	1611
527	1796	1606
528	1798	1601
529	1805	1601
530	1810	1599
531	1812	1594
532	1821	1596
533	1824	1592
534	1826	1587
535	1832	1586
536	1836	1583
537	1838	1579
538	1840	1574
539	1842	1569
540	1844	1564
541	1853	1565
542	1855	1561
543	1857	1556
544	1859	1552
545	1872	1556
546	1873	1551
547	1874	1546
548	1884	1547
549	1886	1543
550	1887	1538
551	1889	1533
552	1891	1528
553	1897	1527
554	1899	1523
555	1901	1518
556	1902	1513
557	1904	1508
558	1905	1503
559	1909	1500
560	1911	1496
561	1915	1492
562	1916	1487
563	1917	1482
564	1919	1477
565	1921	1473
566	1927	1471
567	1930	1468
568	1932	1463
569	1934	1458
570	1935	1454
571	1943	1453
572	1946	1450
573	1948	1446
574	1949	1441
575	1952	1437
576	1954	1433
577	1957	1429
578	1958	1424
579	1961	1420
580	1963	1415
581	1964	1411
582	1970	1409
583	1973	1405
584	1975	1401
585	1977	1397
586	1979	1392
587	1983	1389
588	1986	1386
589	1988	1381
590	1992	1378
591	1998	1377
592	2003	1374
593	2004	1370
594	2006	1365
595	2007	1361
596	2014	1360
597	2019	1357
598	2020	1352
599	2022	1348
600	2027	1345
601	2031	1343
602	2033	1339
603	2036	1334
604	2039	1331
605	2044	1329
606	2047	1325
607	2048	1320
608	2050	1316
609	2057	1315
610	2059	1311
611	2060	1306
612	2062	1301
613	2064	1297
614	2068	1294
615	2073	1292
616	2075	1288
617	2077	1283
618	2078	1279
619	2085	1277
620	2090	1276
621	2092	1271
622	2093	1267
623	2095	1262
624	2100	1260
625	2107	1258
626	2108	1254
627	2110	1250
628	2116	1248
629	2121	1245
630	2122	1241
631	2124	1237
632	2125	1232
633	2131	1230
634	2135	1227
635	2137	1223
636	2139	1219
637	2140	1214
638	2141	1210
639	2154	1211
640	2155	1207
641	2157	1202
642	2164	1201
643	2170	1199
644	2172	1195
645	2173	1191
646	2179	1189
647	2184	1186
648	2186	1182
649	2188	1178
650	2198	1178
651	2200	1174
652	2202	1170
653	2203	1165
654	2210	1164
655	2214	1161
656	2215	1156
657	2217	1152
658	2218	1147
659	2219	1143
660	2225	1141
661	2228	1137
662	2229	1133
663	2231	1129
664	2232	1124
665	2233	1120
666	2235	1115
667	2240	1113
668	2243	1109
669	2245	1105
670	2246	1101
671	2247	1096
672	2248	1092
673	2249	1088
674	2256	1086
675	2259	1083
676	2261	1078
677	2262	1074
678	2264	1070
679	2265	1066
680	2273	1065
681	2275	1060
682	2276	1056
683	2277	1052
684	2279	1048
685	2288	1047
686	2291	1043
687	2292	1039
688	2295	1035
689	2300	1033
690	2305	1030
691	2306	1026
692	2307	1022
693	2309	1018
694	2311	1014
695	2314	1010
696	2317	1007
697	2320	1004
698	2322	999
699	2323	995
700	2325	991
701	2327	988
702	2330	984
703	2332	980
704	2333	976
705	2334	972
706	2335	967
707	2336	963
708	2338	959
709	2340	955
710	2346	953
711	2347	949
712	2351	946
713	2353	942
714	2354	938
715	2359	936
716	2363	932
717	2364	928
718	2366	924
719	2367	920
720	2369	916
721	2370	912
722	2374	909
723	2376	906
724	2379	902
725	2381	898
726	2383	894
727	2384	890
728	2394	889
729	2395	886
730	2397	882
731	2398	878
732	2400	874
733	2408	872
734	2411	869
735	2413	865
736	2414	861
737	2421	859
738	2425	856
739	2426	852
740	2428	848
741	2429	844
742	2434	842
743	2436	838
744	2442	835
745	2443	832
746	2445	828
747	2451	825
748	2454	822
749	2456	818
750	2458	815
751	2460	811
752	2467	809
753	2472	806
754	2474	802
755	2481	800
756	2484	797
757	2488	794
758	2489	790
759	2492	787
760	2496	784
761	2498	780
762	2500	776
763	2501	772
764	2503	768
765	2505	765
766	2509	762
767	2512	759
768	2513	755
769	2515	751
770	2516	747
771	2517	743
772	2518	739
773	2524	737
774	2526	733
775	2528	729
776	2530	726
777	2531	722
778	2532	718
779	2534	714
780	2538	711
781	2540	708
782	2543	704
783	2545	701
784	2546	697
785	2547	693
786	2549	689
787	2552	686
788	2554	683
789	2556	679
790	2557	675
791	2560	672
792	2561	668
793	2563	665
794	2564	661
795	2568	658
796	2571	654
797	2572	651
798	2574	647
799	2575	643
800	2578	640
801	2582	637
802	2585	634
803	2586	630
804	2588	627
805	2589	623
806	2591	619
807	2596	617
808	2601	614
809	2603	610
810	2605	607
811	2606	603
812	2615	601
813	2617	598
814	2618	594
815	2620	590
816	2621	587
817	2626	584
818	2630	581
819	2632	577
820	2634	574
821	2635	570
822	2642	568
823	2645	565
824	2647	561
825	2649	558
826	2650	554
827	2655	551
828	2658	548
829	2662	545
830	2664	541
831	2665	538
832	2670	535
833	2675	532
834	2677	529
835	2680	525
836	2686	523
837	2691	520
838	2694	516
839	2697	513
840	2699	510
841	2702	507
842	2704	503
843	2706	500
844	2708	496
845	2714	494
846	2718	491
847	2720	487
848	2722	484
849	2724	480
850	2730	478
851	2733	474
852	2735	471
853	2737	468
854	2742	465
855	2746	462
856	2748	458
857	2750	455
858	2751	451
859	2760	449
860	2762	446
861	2764	442
862	2766	439
863	2770	436
864	2775	433
865	2778	429
866	2779	426
867	2782	423
868	2785	419
869	2788	416
870	2790	413
871	2792	409
872	2793	406
873	2794	402
874	2796	399
875	2801	396
876	2804	393
877	2807	390
878	2808	386
879	2810	383
880	2815	380
881	2819	377
882	2821	373
883	2822	370
884	2823	366
885	2824	363
886	2825	360
887	2837	357
888	2839	354
889	2840	351
890	2841	347
891	2847	344
892	2851	341
893	2857	338
894	2860	335
895	2864	332
896	2865	329
897	2866	325
898	2868	322
899	2869	318
900	2870	315
901	2872	312
902	2877	309
903	2880	305
904	2881	302
905	2883	299
906	2886	295
907	2887	292
908	2897	290
909	2898	286
